,subject,story,trial,Seen,ResponseType,Informativity,Chosen
1,A1LOUZD99NZCT2,inspector,high,1,MA,NA,1
2,A1LOUZD99NZCT2,yoga,low,1,MA,NA,1
3,A1LOUZD99NZCT2,firefighter,high,1,MA,NA,1
4,A1LOUZD99NZCT2,coffee,low,1,MA,NA,1
5,A2YVC1U50H2B4R,inspector,high,1,MA,NA,0
6,A2YVC1U50H2B4R,yoga,low,1,MA,NA,0
7,A2YVC1U50H2B4R,pic,low,1,MA,NA,0
8,A2YVC1U50H2B4R,brother,low,1,MA,NA,0
9,A2QWERWB75X8YU,operative,high,1,MA,NA,1
10,A2QWERWB75X8YU,brother,low,1,MA,NA,0
11,ACVJ6IUO9QM4R,operative,high,1,MA,NA,0
12,ACVJ6IUO9QM4R,firefighter,high,1,MA,NA,1
13,ACVJ6IUO9QM4R,inspector,high,1,MA,NA,0
14,ACVJ6IUO9QM4R,brother,low,1,MA,NA,0
15,A1DIW2K1J89CMO,la,low,1,MA,NA,0
16,A1DIW2K1J89CMO,firefighter,high,1,MA,NA,1
17,A11FRLH5KWRLBV,yoga,low,1,MA,NA,1
18,A2YGAEODJ5SSF6,brother,low,1,MA,NA,0
19,A2YGAEODJ5SSF6,firefighter,high,1,MA,NA,1
20,A2DVJ6OMVVYTC7,pic,low,1,MA,NA,0
21,A2DVJ6OMVVYTC7,fbi,high,1,MA,NA,1
22,A2DVJ6OMVVYTC7,yoga,low,1,MA,NA,0
23,A2DVJ6OMVVYTC7,coffee,low,1,MA,NA,0
24,A2DVJ6OMVVYTC7,firefighter,high,1,MA,NA,1
25,AA8MK8AWWWL62,coffee,low,1,MA,NA,1
26,AA8MK8AWWWL62,la,low,1,MA,NA,1
27,AA8MK8AWWWL62,terrorism,high,1,MA,NA,1
28,A10LGIY5HFYMZM,pic,low,1,MA,NA,0
29,A10LGIY5HFYMZM,la,low,1,MA,NA,1
30,A10LGIY5HFYMZM,fbi,high,1,MA,NA,1
31,A2LCOTUKCDULAA,brother,low,1,MA,NA,0
32,A2LCOTUKCDULAA,operative,high,1,MA,NA,0
33,A2LCOTUKCDULAA,la,low,1,MA,NA,0
34,A35NM2285DUAFH,fbi,high,1,MA,NA,1
35,A35NM2285DUAFH,operative,high,1,MA,NA,0
36,A35NM2285DUAFH,terrorism,high,1,MA,NA,0
37,A35NM2285DUAFH,yoga,low,1,MA,NA,0
38,A2L22HZ50T83UK,firefighter,high,1,MA,NA,1
39,A2L22HZ50T83UK,la,low,1,MA,NA,1
40,A2L22HZ50T83UK,yoga,low,1,MA,NA,0
41,A2L22HZ50T83UK,coffee,low,1,MA,NA,1
42,A1U8HCXVACOGJ8,coffee,low,1,MA,NA,1
43,A1U8HCXVACOGJ8,yoga,low,1,MA,NA,1
44,A1U8HCXVACOGJ8,brother,low,1,MA,NA,1
45,A1U8HCXVACOGJ8,fbi,high,1,MA,NA,1
46,AWPB724OHY99T,brother,low,1,MA,NA,1
47,AWPB724OHY99T,coffee,low,1,MA,NA,0
48,A25FH7PXC446RG,coffee,low,1,MA,NA,0
49,A25FH7PXC446RG,fbi,high,1,MA,NA,0
50,A25FH7PXC446RG,terrorism,high,1,MA,NA,0
51,A25FH7PXC446RG,pic,low,1,MA,NA,0
52,A25FH7PXC446RG,operative,high,1,MA,NA,0
53,A25FH7PXC446RG,brother,low,1,MA,NA,0
54,A26M997VYVK0E6,yoga,low,1,MA,NA,1
55,A26M997VYVK0E6,firefighter,high,1,MA,NA,0
56,A26M997VYVK0E6,operative,high,1,MA,NA,1
57,A26M997VYVK0E6,pic,low,1,MA,NA,1
58,A1N4AZ1QXPOPXH,fbi,high,1,MA,NA,0
59,A1N4AZ1QXPOPXH,operative,high,1,MA,NA,0
60,A1N4AZ1QXPOPXH,terrorism,high,1,MA,NA,1
61,A1N4AZ1QXPOPXH,inspector,high,1,MA,NA,1
62,A1N4AZ1QXPOPXH,pic,low,1,MA,NA,0
63,A1UA911OAE2KFJ,coffee,low,1,MA,NA,0
64,A1UA911OAE2KFJ,operative,high,1,MA,NA,1
65,A1UA911OAE2KFJ,la,low,1,MA,NA,0
66,A1UA911OAE2KFJ,fbi,high,1,MA,NA,0
67,ADZHJZ078THWQ,operative,high,1,MA,NA,1
68,ADZHJZ078THWQ,yoga,low,1,MA,NA,0
69,ADZHJZ078THWQ,coffee,low,1,MA,NA,0
70,A1TA2I82B8DJSA,la,low,1,MA,NA,0
71,A1TA2I82B8DJSA,operative,high,1,MA,NA,1
72,A1TA2I82B8DJSA,pic,low,1,MA,NA,0
73,A1TA2I82B8DJSA,terrorism,high,1,MA,NA,1
74,A1WOV2JIV5I9VE,la,low,1,MA,NA,0
75,A1WOV2JIV5I9VE,fbi,high,1,MA,NA,1
76,A1P0XSCJ9XAV74,terrorism,high,1,MA,NA,0
77,A1P0XSCJ9XAV74,operative,high,1,MA,NA,1
78,A1P0XSCJ9XAV74,brother,low,1,MA,NA,1
79,A1P0XSCJ9XAV74,pic,low,1,MA,NA,0
80,A1RZR5XTNOFBDE,brother,low,1,MA,NA,0
81,A3OV174HQJIJK8,yoga,low,1,MA,NA,0
82,A3OV174HQJIJK8,fbi,high,1,MA,NA,0
83,A3OV174HQJIJK8,terrorism,high,1,MA,NA,0
84,AS1QMPXIT1EGX,brother,low,1,MA,NA,0
85,AS1QMPXIT1EGX,la,low,1,MA,NA,1
86,AS1QMPXIT1EGX,operative,high,1,MA,NA,1
87,AS1QMPXIT1EGX,fbi,high,1,MA,NA,1
88,A17PAE30BGBO1T,firefighter,high,1,MA,NA,1
89,A17PAE30BGBO1T,coffee,low,1,MA,NA,1
90,A17PAE30BGBO1T,inspector,high,1,MA,NA,1
91,A17PAE30BGBO1T,fbi,high,1,MA,NA,1
92,A17PAE30BGBO1T,operative,high,1,MA,NA,1
93,A17PAE30BGBO1T,terrorism,high,1,MA,NA,1
94,A2EPBSY0VPI38S,yoga,low,1,MA,NA,1
95,A2EPBSY0VPI38S,operative,high,1,MA,NA,1
96,A2EPBSY0VPI38S,la,low,1,MA,NA,1
97,A2EPBSY0VPI38S,terrorism,high,1,MA,NA,0
98,A2EPBSY0VPI38S,coffee,low,1,MA,NA,1
99,A2EPBSY0VPI38S,firefighter,high,1,MA,NA,1
100,A2GN5L03ZQEOZF,terrorism,high,1,MA,NA,1
101,A2EUXA84IMO859,coffee,low,1,MA,NA,1
102,A2EUXA84IMO859,la,low,1,MA,NA,0
103,A2EUXA84IMO859,brother,low,1,MA,NA,0
104,A2EUXA84IMO859,inspector,high,1,MA,NA,1
105,A3DB11T127QKJF,operative,high,1,MA,NA,1
106,A3DB11T127QKJF,brother,low,1,MA,NA,1
107,A3DB11T127QKJF,terrorism,high,1,MA,NA,1
108,A187VXD4ETY6M2,pic,low,1,MA,NA,1
109,A187VXD4ETY6M2,la,low,1,MA,NA,1
