,subject,story,trial,tense,Seen,ResponseType,Informativity,Chosen
1,A2MM10557W7PLD,test_books,low,past,1,MA,NA,1
2,A14NSVH4W27CK0,test_shoes,low,past,1,MA,NA,1
3,ALDWVFR4I0V2D,test_books,low,past,1,MA,NA,0
4,ALDWVFR4I0V2D,test_yarn,low,past,1,MA,NA,1
5,A3GQR89E66AQJY,test_coffee,low,past,1,MA,NA,0
6,A25ZLJK1VMAXXQ,test_yarn,low,past,1,MA,NA,1
7,A25ZLJK1VMAXXQ,test_books,low,past,1,MA,NA,0
8,A25ZLJK1VMAXXQ,test_coffee,low,past,1,MA,NA,0
9,A2791MEBSOAD1U,test_yarn,low,past,1,MA,NA,1
10,A2791MEBSOAD1U,test_hair,low,past,1,MA,NA,1
11,A1YIBSKY9U31X6,test_coffee,low,past,1,MA,NA,1
12,A1YIBSKY9U31X6,test_yarn,low,past,1,MA,NA,0
13,AC5UD8N187QD6,test_shoes,low,past,1,MA,NA,0
14,A2WWYVKGZZXBOB,test_shoes,low,past,1,MA,NA,0
15,A2WWYVKGZZXBOB,test_hair,low,past,1,MA,NA,0
16,A25FNSFSB048DL,test_hair,low,past,1,MA,NA,0
17,A10UWP6T47G9TR,test_books,low,past,1,MA,NA,0
18,A10UWP6T47G9TR,test_hair,low,past,1,MA,NA,1
19,A20SL254675EOK,test_books,low,past,1,MA,NA,0
20,A20SL254675EOK,test_hair,low,past,1,MA,NA,1
21,A36OS4XKUJF4NB,test_coffee,low,past,1,MA,NA,0
22,A36OS4XKUJF4NB,test_yarn,low,past,1,MA,NA,0
23,A3QSJY1FFN0N6V,test_coffee,low,past,1,MA,NA,1
24,A1UKAS30R0MFI6,test_coffee,low,past,1,MA,NA,1
25,A1UKAS30R0MFI6,test_yarn,low,past,1,MA,NA,1
26,A1UKAS30R0MFI6,test_shoes,low,past,1,MA,NA,1
27,A3HXIGBCL1CRFS,test_shoes,low,past,1,MA,NA,0
28,A3A07QA5U733HQ,test_hair,low,past,1,MA,NA,1
29,A3FY7A6Z3EVNRX,test_shoes,low,past,1,MA,NA,0
30,A3SL5QRF7MX2P1,test_shoes,low,past,1,MA,NA,1
31,A31X9CV1UWZV8Z,test_yarn,low,past,1,MA,NA,0
32,A28Q4YJSLGWCL5,test_shoes,low,past,1,MA,NA,0
33,A28Q4YJSLGWCL5,test_yarn,low,past,1,MA,NA,0
34,A2ZAORW27PCSU4,test_coffee,low,past,1,MA,NA,1
35,A2ZAORW27PCSU4,test_hair,low,past,1,MA,NA,0
36,A2ZAORW27PCSU4,test_shoes,low,past,1,MA,NA,1
37,A2ZAORW27PCSU4,test_books,low,past,1,MA,NA,0
38,A2ZAORW27PCSU4,test_yarn,low,past,1,MA,NA,1
39,ALJ70B2J04YR7,test_shoes,low,past,1,MA,NA,0
40,AJW3PL5UDH4BP,test_yarn,low,past,1,MA,NA,1
41,AJW3PL5UDH4BP,test_hair,low,past,1,MA,NA,0
